time_s,ref_x_ref,ref_dx_ref,ref_y_ref,ref_dy_ref,ref_z_ref,ref_dz_ref,ref_psi_ref,state_x,state_dx,state_y,state_dy,state_z,state_dz,state_psi,state_dpsi,state_theta,state_dtheta,state_phi,state_dphi,cmd_u,cmd_tau_psi,cmd_tau_theta,cmd_tau_phi,cmd_theta_des,cmd_phi_des,cmd_ax_cmd,cmd_ay_cmd,cmd_uz_cmd,err_ex,err_ey,err_ez,err_epsi,err_etheta,err_ephi,err_Ix,err_Iy,err_Iz,err_Ipsi,err_Itheta,err_Iphi
0.023,0.00684750411521335,0.00680061580260549,0.012325507407384,0.0122411084446899,0.0551909643406824,0,0,7.20731435781965e-08,1.23911547696139e-05,3.28840619931446e-08,5.6575570500371e-06,0.000554200808876363,0.0473991084604279,0,0,0.000134693206231602,0.0113497851656649,-6.15864740516443e-05,-0.00520869191894065,11.7610854846552,0,0.44255406524803,-0.206680894432677,0.00457795096272301,-0.00626664281164364,0.0449100126806358,0.0614765712869461,1.95108535566454,0.00684743204206978,0.012325474523322,0.054636763531806,0,0.00444325775649141,-0.006205056337592,0.000162477176810303,0.000292459417002726,0.00130517834722171,0,0.000107610529586978,-0.000148176280522569
0.024,0.00685430808584406,0.0068073265465084,0.0123377545545193,0.0122531877837151,0.055245166056701,0,0,8.52788320036822e-08,1.40429034562697e-05,3.89140921974154e-08,6.41291590294233e-06,0.000602575460010884,0.0493501938047597,0,0,0.000146264268429891,0.0117923392309129,-6.68985064178013e-05,-0.00541537281337332,11.7516724487194,0,0.438080783088474,-0.20506827730848,0.00458169283508445,-0.00627282044674288,0.0449467212184493,0.06153717637017,1.94167229671944,0.00685422280701206,0.0123377156404271,0.0546425905966901,0,0.00443542856665456,-0.00620592194032508,0.000169331399617315,0.000304797132643153,0.0013598209378184,0,0.000112045958153632,-0.000154382202462894
0.025,0.0068611187704828,0.00681404381970013,0.012350013786869,0.0122652788754602,0.0552994200033295,0,0,1.00204471466897e-07,1.5831901102878e-05,4.57307997942876e-08,7.23130672995966e-06,0.000652896489959794,0.0512918660887244,0,0,0.000158275648052348,0.0122304200140014,-7.24164133698288e-05,-0.0056204410906818,11.7422307228811,0,0.433582546049289,-0.203460051755326,0.00458536895291996,-0.00627899120595796,0.0449827846920591,0.0615977140157382,1.93223054501383,0.00686101856601134,0.0123499680560693,0.0546465235133697,0,0.00442709330486761,-0.00620657479258813,0.000176192418183326,0.000317147100699222,0.00141446746133177,0,0.0001164730514585,-0.000160588777255482
0.026,0.00686793617566195,0.00682076762834898,0.0123622851161915,0.0122773817310282,0.0553537262289349,0,0,1.1698977468827e-07,1.77630650104636e-05,5.33983706049296e-08,8.11503340020694e-06,0.000705154471316309,0.0532240966194562,0,0,0.000170722859339374,0.0126640025600507,-7.81385844863883e-05,-0.00582390114243713,11.7327608260749,0,0.429059788334743,-0.201856227508632,0.00458897679148156,-0.0062851546058577,0.0450181783331017,0.0616581794819603,1.92276061927364,0.00686781918588726,0.0123622317178209,0.0546485717576186,0,0.00441825393214219,-0.00620701602137131,0.000183060237369213,0.000329509332417043,0.00146911603308939,0,0.000120891305390642,-0.000166795793276854
0.027,0.00687476030792004,0.00682749797862869,0.0123745685542561,0.0122894963615316,0.0554080847819252,0,0,1.357793386328e-07,1.98412463347959e-05,6.19832817531485e-08,9.06637466362582e-06,0.000759339948240144,0.0551468572228131,0,0,0.000183601391793592,0.0130930623483854,-8.40634137425797e-05,-0.00602575736994576,11.7232632758038,0,0.424512947597279,-0.200256814228109,0.00459251385894006,-0.00629131016743369,0.0450528776961516,0.0617185680705578,1.91326303678918,0.00687462452858141,0.0123745065709743,0.0546487448336851,0,0.00440891246714647,-0.00620724675369111,0.000189934861897795,0.000341883838988018,0.00152376477792307,0,0.000125300217857788,-0.000173003040030545
0.028,0.00688159117380181,0.00683423487671846,0.0123868641128433,0.0123016227780932,0.0554624957107491,0,0,1.56722578281622e-07,2.20712299213338e-05,7.15542765910546e-08,1.00875842407678e-05,0.000815443436975516,0.0570601202419412,0,0,0.000196906710615776,0.0135175752959827,-9.01892995196396e-05,-0.00622601418417387,11.7137385881261,0,0.419942464869091,-0.198661821497557,0.00459597769647984,-0.00629745741608966,0.0450868586596512,0.0617788751265596,1.90373831340163,0.00688143445122352,0.0123867925585667,0.0546470522737736,0,0.00439907098586406,-0.00620726811657002,0.000196816296349018,0.000354270631546584,0.00157841183019685,0,0.000129699288843653,-0.000179210308147115
0.029,0.00688842877985814,0.00684097832880297,0.0123991718037447,0.0123137609918453,0.0555169590638965,0,0,1.7997366024338e-07,2.44577341498564e-05,8.21823397151911e-08,1.11808909139383e-05,0.000873455426367706,0.0589638585358258,0,0,0.000210634257144193,0.0139375177608518,-9.65146446145622e-05,-0.00642467600567143,11.704187277641,0,0.415348784493247,-0.197071258824658,0.00459936587838889,-0.0063035958816307,0.0451200974267946,0.0618390960381945,1.89418696348969,0.0068882488061979,0.0123990896214049,0.0546435036375288,0,0.0043887316212447,-0.00620708123701614,0.000203704545155216,0.000366669721167989,0.00163305533383438,0,0.000134088020464897,-0.000185417389384131
0.03,0.00689527313264614,0.00684772834107235,0.0124114916387631,0.0123259110139302,0.0555714748898982,0,0,2.05691436215048e-07,2.70054107887506e-05,9.39406720744766e-08,1.23484986196743e-05,0.000933366378378172,0.0608580454778291,0,0,0.000224779449297292,0.014352866545345,-0.000103037856249646,-0.00662174726449609,11.6946098574758,0,0.410732354054366,-0.195485135640756,0.00460267601214383,-0.00630972509825211,0.0451525705263616,0.0618992262367807,1.88460949995635,0.00689506744120993,0.012411397698091,0.05463810851152,0,0.00437789656284654,-0.00620668724200246,0.000210599612596426,0.00037908111886608,0.0016876934423459,0,0.000138465917027744,-0.000191624076626133
0.031,0.00690212423872908,0.00685448491972223,0.0124238236297123,0.0123380728555,0.0556260432373262,0,0,2.34039376301848e-07,2.97188448589193e-05,1.06904666171281e-07,1.35925865425313e-05,0.000995166728598183,0.0627426549542143,0,0,0.000239337682019664,0.0147635988993994,-0.000109757346081962,-0.00681723240013684,11.6850068392718,0,0.406093624308884,-0.19390346130063,0.0046059057384901,-0.00631584460452795,0.0451842548135047,0.0619592611966126,1.87500643421576,0.00690189019935278,0.0124237167250462,0.054630876508728,0,0.00436656805647044,-0.00620608725844599,0.000217501502795779,0.000391504835591126,0.00174232431885462,0,0.000142832485084214,-0.000197830163884579
0.032,0.00690898210467645,0.00686124807095371,0.0124361677884176,0.0123502465277167,0.0556806641547932,0,0,2.6518550220588e-07,3.26025545072753e-05,1.21151881356928e-07,1.4915309210154e-05,0.00105884688676098,0.0646176613626576,0,0,0.000254304327731218,0.0151696925237083,-0.00011667153021275,-0.00701113586143747,11.6753787331717,0,0.401433049114894,-0.192326245082263,0.00460905273151728,-0.00632195394339939,0.0452151274704881,0.0620191964348446,1.86537827618025,0.00690871691917424,0.0124360466365362,0.0546218172680322,0,0.00435474840378606,-0.00620528241318664,0.000224410219714953,0.000403940882227663,0.00179694613612266,0,0.000147187233488,-0.000204035446297766
