time_s,ref_z_ref,ref_dz_ref,state_z,state_dz,cmd_T,cmd_T_unsat,cmd_T_feedforward,cmd_e_z_cmd,cmd_I_z_cmd,cmd_edot_z_cmd,err_e_z,err_I_z,err_edot_z
7.837,2.9366903048373,0.0619736559955053,2.93850276196466,0.0603833044184918,9.7519632992292,9.7519632992292,9.81,-0.001812457127365,0.003254913219366,0.00159035157701345,-0.001812457127365,0.003254913219366,0.00159035157701345
7.838,2.93675224882336,0.0619143251670104,2.93856311625073,0.060325267717721,9.75201679485537,9.75201679485537,9.81,-0.0018108674273738,0.00325310235193862,0.00158905744928938,-0.0018108674273738,0.00325310235193862,0.00158905744928938
7.839,2.93681413350571,0.0618550485860756,2.93862341252684,0.0602672845125764,9.75207024566808,9.75207024566808,9.81,-0.00180927902113126,0.00325129307291749,0.00158776407349918,-0.00180927902113126,0.00325129307291749,0.00158776407349918
7.84,2.9368759589386,0.0617958262080975,2.93868365084648,0.0602093547582445,9.7521236516959,9.7521236516959,9.81,-0.00180769190788466,0.00324948538100961,0.00158647144985306,-0.00180769190788466,0.00324948538100961,0.00158647144985306
7.841,2.93693772517618,0.0617366579884996,2.93874383126306,0.0601514784099404,9.75217701296736,9.75217701296736,9.81,-0.00180610608688214,0.00324767927492273,0.00158517957855926,-0.00180610608688214,0.00324767927492273,0.00158517957855926
7.842,2.93699943227261,0.0616775438827321,2.93880395382998,0.0600936554229077,9.75223032951103,9.75223032951103,9.81,-0.00180452155737054,0.00324587475336536,0.00158388845982433,-0.00180452155737054,0.00324587475336536,0.00158388845982433
7.843,2.93706108028197,0.0616184838462718,2.93886401860057,0.0600358857524188,9.75228360135544,9.75228360135544,9.81,-0.00180293831859801,0.00324407181504676,0.00158259809385303,-0.00180293831859801,0.00324407181504676,0.00158259809385303
7.844,2.93712266925831,0.0615594778346225,2.93892402562812,0.0599781693537742,9.75233682852918,9.75233682852918,9.81,-0.00180135636981049,0.00324227045867695,0.00158130848084829,-0.00180135636981049,0.00324227045867695,0.00158130848084829
7.845,2.93718419925563,0.0615005258033147,2.93898397496589,0.0599205061823034,9.75239001106073,9.75239001106073,9.81,-0.00179977571025658,0.00324047068296669,0.00158001962101129,-0.00179977571025658,0.00324047068296669,0.00158001962101129
7.846,2.9372456703279,0.0614416277079054,2.93904386666708,0.0598628961933641,9.75244314897871,9.75244314897871,9.81,-0.00179819633918132,0.00323867248662751,0.00157873151454133,-0.00179819633918132,0.00323867248662751,0.00157873151454133
7.847,2.93730708252901,0.061382783503979,2.93910370078485,0.0598053393423428,9.75249624231163,9.75249624231163,9.81,-0.00179661825583244,0.00323687586837168,0.00157744416163614,-0.00179661825583244,0.00323687586837168,0.00157744416163614
7.848,2.93736843591285,0.0613239931471461,2.93916347737231,0.0597478355846544,9.75254929108805,9.75254929108805,9.81,-0.00179504145945586,0.00323508082691222,0.00157615756249161,-0.00179504145945586,0.00323508082691222,0.00157615756249161
7.849,2.93742973053324,0.0612652565930442,2.93922319648254,0.0596903848757425,9.75260229533653,9.75260229533653,9.81,-0.00179346594929752,0.00323328736096292,0.00157487171730169,-0.00179346594929752,0.00323328736096292,0.00157487171730169
7.85,2.93749096644396,0.0612065737973378,2.93928285816856,0.059632987171079,9.7526552550856,9.7526552550856,9.81,-0.00179189172460426,0.00323149546923832,0.00157358662625878,-0.00179189172460426,0.00323149546923832,0.00157358662625878
7.851,2.93755214369874,0.0611479447157182,2.93934246248336,0.0595756424261646,9.75270817036387,9.75270817036387,9.81,-0.00179031878462022,0.0032297051504537,0.00157230228955356,-0.00179031878462022,0.0032297051504537,0.00157230228955356
7.852,2.93761326235128,0.0610893693039032,2.93940200947987,0.0595183505965285,9.75276104119983,9.75276104119983,9.81,-0.00178874712859223,0.00322791640332511,0.00157101870737467,-0.00178874712859223,0.00322791640332511,0.00157101870737467
7.853,2.93767432245522,0.0610308475176376,2.93946149921099,0.0594611116377283,9.75281386762205,9.75281386762205,9.81,-0.00178717675576578,0.00322612922656934,0.00156973587990931,-0.00178717675576578,0.00322612922656934,0.00156973587990931
7.854,2.93773532406418,0.0609723793126931,2.93952093172956,0.0594039255053504,9.7528666496591,9.7528666496591,9.81,-0.00178560766538549,0.00322434361890396,0.00156845380734273,-0.00178560766538549,0.00322434361890396,0.00156845380734273
7.855,2.9377962672317,0.0609139646448681,2.93958030708839,0.0593467921550095,9.75291938733955,9.75291938733955,9.81,-0.00178403985669595,0.00322255957904726,0.0015671724898586,-0.00178403985669595,0.00322255957904726,0.0015671724898586
7.856,2.9378571520113,0.0608556034699878,2.93963962534024,0.059289711542349,9.75297208069189,9.75297208069189,9.81,-0.00178247332894355,0.00322077710571832,0.00156589192763876,-0.00178247332894355,0.00322077710571832,0.00156589192763876
7.857,2.93791797845645,0.0607972957439042,2.93969888653782,0.0592326836230409,9.75302472974473,9.75302472974473,9.81,-0.00178090808137155,0.00321899619763695,0.00156461212086326,-0.00178090808137155,0.00321899619763695,0.00156461212086326
7.858,2.93797874662059,0.0607390414224962,2.93975809073381,0.0591757083527856,9.75307733452662,9.75307733452662,9.81,-0.00177934411322456,0.00321721685352372,0.0015633330697106,-0.00177934411322456,0.00321721685352372,0.0015633330697106
7.859,2.93803945655708,0.0606808404616697,2.93981723798083,0.0591187856873123,9.75312989506607,9.75312989506607,9.81,-0.00177778142374807,0.00321543907209997,0.00156205477435742,-0.00177778142374807,0.00321543907209997,0.00156205477435742
7.86,2.93810010831928,0.060622692817357,2.93987632833147,0.0590619155823783,9.75318241139171,9.75318241139171,9.81,-0.00177622001218403,0.00321366285208779,0.00156077723497869,-0.00177622001218403,0.00321366285208779,0.00156077723497869
7.861,2.93816070196047,0.0605645984455176,2.93993536183825,0.05900509799377,9.75323488353201,9.75323488353201,9.81,-0.00177465987777881,0.00321188819221001,0.0015595004517476,-0.00177465987777881,0.00321188819221001,0.0015595004517476
7.862,2.93822123753392,0.0605065573021378,2.93999433855369,0.058948332877302,9.75328731151559,9.75328731151559,9.81,-0.00177310101977435,0.00321011509119024,0.00155822442483572,-0.00177310101977435,0.00321011509119024,0.00155822442483572
7.863,2.93828171509281,0.0604485693432305,2.94005325853022,0.0588916201888176,9.75333969537099,9.75333969537099,9.81,-0.00177154343741437,0.00320834354775282,0.00155694915441285,-0.00177154343741437,0.00320834354775282,0.00155694915441285
7.864,2.93834213469032,0.0603906345248357,2.94011212182026,0.0588349598841886,9.75339203512674,9.75339203512674,9.81,-0.00176998712994347,0.00320657356062288,0.00155567464064709,-0.00176998712994347,0.00320657356062288,0.00155567464064709
7.865,2.93840249637956,0.0603327528030202,2.94017092847616,0.0587783519193154,9.7534443308114,9.7534443308114,9.81,-0.00176843209660449,0.00320480512852627,0.00155440088370482,-0.00176843209660449,0.00320480512852627,0.00155440088370482
7.866,2.93846280021361,0.0602749241338776,2.94022967855025,0.0587217962501268,9.75349658245356,9.75349658245356,9.81,-0.00176687833663935,0.00320303825018963,0.00155312788375085,-0.00176687833663935,0.00320303825018963,0.00155312788375085
7.867,2.93852304624549,0.0602171484735285,2.94028837209479,0.0586652928325803,9.75354879008168,9.75354879008168,9.81,-0.00176532584929356,0.00320127292434034,0.00155185564094813,-0.00176532584929356,0.00320127292434034,0.00155185564094813
7.868,2.93858323452821,0.0601594257781201,2.94034700916201,0.058608841622662,9.75360095372443,9.75360095372443,9.81,-0.00176377463380684,0.00319950914970653,0.00155058415545806,-0.00176377463380684,0.00319950914970653,0.00155058415545806
7.869,2.93864336511469,0.0601017560038267,2.94040558980411,0.0585524425763864,9.75365307341029,9.75365307341029,9.81,-0.00176222468942377,0.00319774692501711,0.00154931342744027,-0.00176222468942377,0.00319774692501711,0.00154931342744027
7.87,2.93870343805784,0.0600441391068494,2.94046411407323,0.0584960956497967,9.75370514916783,9.75370514916783,9.81,-0.00176067601538588,0.00319598624900172,0.0015480434570527,-0.00176067601538588,0.00319598624900172,0.0015480434570527
7.871,2.93876345341052,0.0599865750434162,2.94052258202145,0.0584398007989645,9.7537571810256,9.7537571810256,9.81,-0.00175912861093597,0.00319422712039079,0.00154677424445161,-0.00175912861093597,0.00319422712039079,0.00154677424445161
7.872,2.93882341122552,0.0599290637697819,2.94058099370084,0.0583835579799901,9.75380916901215,9.75380916901215,9.81,-0.00175758247531599,0.00319246953791547,0.00154550578979171,-0.00175758247531599,0.00319246953791547,0.00154550578979171
7.873,2.93888331155564,0.0598716052422282,2.9406393491634,0.0583273671490023,9.75386111315601,9.75386111315601,9.81,-0.00175603760776832,0.0031907135003077,0.00154423809322586,-0.00175603760776832,0.0031907135003077,0.00154423809322586
7.874,2.93894315445358,0.0598141994170637,2.94069764846111,0.0582712282621583,9.75391301348577,9.75391301348577,9.81,-0.00175449400753402,0.00318895900630017,0.00154297115490543,-0.00175449400753402,0.00318895900630017,0.00154297115490543
7.875,2.93900293997202,0.0597568462506241,2.94075589164588,0.0582151412756441,9.75396487002992,9.75396487002992,9.81,-0.00175295167385592,0.00318720605462631,0.00154170497498,-0.00175295167385592,0.00318720605462631,0.00154170497498
7.876,2.93906266816362,0.0596995456992715,2.94081407876959,0.058159106145674,9.75401668281706,9.75401668281706,9.81,-0.00175141060597417,0.00318545464402034,0.00154043955359755,-0.00175141060597417,0.00318545464402034,0.00154043955359755
7.877,2.93912233908095,0.0596422977193955,2.94087220988408,0.058103122828491,9.75406845187573,9.75406845187573,9.81,-0.00174987080313072,0.00318370477321721,0.00153917489090444,-0.00174987080313072,0.00318370477321721,0.00153917489090444
7.878,2.93918195277656,0.059585102267412,2.94093028504113,0.0580471912803668,9.75412017723443,9.75412017723443,9.81,-0.0017483322645675,0.00318195644095264,0.00153791098704519,-0.0017483322645675,0.00318195644095264,0.00153791098704519
7.879,2.93924150930298,0.0595279592997641,2.9409883042925,0.0579913114576012,9.75417185892175,9.75417185892175,9.81,-0.00174679498952468,0.00318020964596312,0.00153664784216292,-0.00174679498952468,0.00318020964596312,0.00153664784216292
7.88,2.93930100871264,0.059470868772922,2.94104626768989,0.057935483316523,9.75422349696622,9.75422349696622,9.81,-0.00174525897724376,0.00317846438698587,0.00153538545639906,-0.00174525897724376,0.00317846438698587,0.00153538545639906
7.881,2.93936045105799,0.0594138306433824,2.94110417528495,0.0578797068134892,9.75427509139639,9.75427509139639,9.81,-0.00174372422696489,0.00317672066275891,0.00153412382989324,-0.00174372422696489,0.00317672066275891,0.00153412382989324
7.882,2.93941983639138,0.0593568448676692,2.94116202712931,0.0578239819048856,9.75432664224079,9.75432664224079,9.81,-0.00174219073792914,0.00317497847202098,0.00153286296278359,-0.00174219073792914,0.00317497847202098,0.00153286296278359
7.883,2.93947916476516,0.059299911402333,2.94121982327454,0.0577683085471264,9.75437814952792,9.75437814952792,9.81,-0.00174065850937843,0.0031732378135116,0.00153160285520661,-0.00174065850937843,0.0031732378135116,0.00153160285520661
7.884,2.93953843623161,0.0592430302039514,2.94127756377216,0.0577126866966543,9.75442961328642,9.75442961328642,9.81,-0.00173912754055028,0.00317149868597105,0.00153034350729714,-0.00173912754055028,0.00317149868597105,0.00153034350729714
7.885,2.93959765084298,0.0591862012291291,2.94133524867366,0.0576571163099407,9.7544810335447,9.7544810335447,9.81,-0.00173759783068794,0.00316976108814036,0.0015290849191884,-0.00173759783068794,0.00316976108814036,0.0015290849191884
7.886,2.93965680865146,0.0591294244344974,2.94139287803049,0.0576015973434854,9.75453241033141,9.75453241033141,9.81,-0.00173606937902937,0.00316802501876133,0.00152782709101194,-0.00173606937902937,0.00316802501876133,0.00152782709101194
7.887,2.93971590970922,0.0590726997767146,2.94145045189404,0.0575461297538168,9.75458374367502,9.75458374367502,9.81,-0.00173454218481561,0.00316629047657652,0.00152657002289782,-0.00173454218481561,0.00316629047657652,0.00152657002289782
7.888,2.93977495406838,0.0590160272124663,2.94150797031566,0.0574907134974918,9.75463503360411,9.75463503360411,9.81,-0.0017330162472855,0.00316455746032923,0.00152531371497446,-0.0017330162472855,0.00316455746032923,0.00152531371497446
7.889,2.939833941781,0.0589594066984644,2.94156543334668,0.0574353485310959,9.75468628014717,9.75468628014717,9.81,-0.00173149156568009,0.00316282596876355,0.00152405816736845,-0.00173149156568009,0.00316282596876355,0.00152405816736845
7.89,2.93989287289911,0.0589028381914482,2.94162284103835,0.0573800348112431,9.75473748333273,9.75473748333273,9.81,-0.00172996813923865,0.00316109600062431,0.00152280338020505,-0.00172996813923865,0.00316109600062431,0.00152280338020505
7.891,2.9399517474747,0.0588463216481837,2.9416801934419,0.0573247722945758,9.75478864318935,9.75478864318935,9.81,-0.00172844596720001,0.00315936755465711,0.00152154935360788,-0.00172844596720001,0.00315936755465711,0.00152154935360788
7.892,2.94001056555971,0.058789857025464,2.94173749060852,0.0572695609377652,9.75483975974554,9.75483975974554,9.81,-0.00172692504880434,0.00315764062960831,0.00152029608769879,-0.00172692504880434,0.00315764062960831,0.00152029608769879
7.893,2.94006932720605,0.058733444280109,2.94179473258934,0.0572144006975107,9.75489083302982,9.75489083302982,9.81,-0.00172540538329047,0.00315591522422502,0.00151904358259825,-0.00172540538329047,0.00315591522422502,0.00151904358259825
7.894,2.94012803246555,0.0586770833689655,2.94185191943545,0.0571592915305405,9.75494186307073,9.75494186307073,9.81,-0.00172388696989767,0.00315419133725512,0.00151779183842497,-0.00172388696989767,0.00315419133725512,0.00151779183842497
7.895,2.94018668139005,0.0586207742489074,2.94190905119791,0.0571042333936113,9.75499284989679,9.75499284989679,9.81,-0.00172236980786478,0.00315246896744725,0.00151654085529614,-0.00172236980786478,0.00315246896744725,0.00151654085529614
7.896,2.9402452740313,0.0585645168768355,2.94196612792773,0.0570492262435081,9.7550437935365,9.7550437935365,9.81,-0.00172085389643106,0.00315074811355082,0.00151529063332748,-0.00172085389643106,0.00315074811355082,0.00151529063332748
7.897,2.94030381044104,0.0585083112096774,2.94202314967587,0.0569942700370446,9.7550946940184,9.7550946940184,9.81,-0.00171933923483492,0.00314902877431599,0.00151404117263288,-0.00171933923483492,0.00314902877431599,0.00151404117263288
7.898,2.94036229067094,0.0584521572043879,2.94208011649326,0.056939364731063,9.75514555137101,9.75514555137101,9.81,-0.00171782582231517,0.00314731094849367,0.00151279247332489,-0.00171782582231517,0.00314731094849367,0.00151279247332489
7.899,2.94042071477265,0.0583960548179484,2.94213702843076,0.056884510282434,9.7551963656228,9.7551963656228,9.81,-0.00171631365811109,0.00314559463483556,0.00151154453551439,-0.00171631365811109,0.00314559463483556,0.00151154453551439
